name,class,type
I6,motor,hermaphrodite
IL1DL,sensory,hermaphrodite
IL1DR,sensory,hermaphrodite
IL1L,sensory,hermaphrodite
IL1R,sensory,hermaphrodite
IL1VL,sensory,hermaphrodite
IL1VR,sensory,hermaphrodite
IL2DL,sensory,hermaphrodite
IL2DR,sensory,hermaphrodite
IL2L,sensory,hermaphrodite
IL2R,sensory,hermaphrodite
IL2VL,sensory,hermaphrodite
IL2VR,sensory,hermaphrodite
LUAL,interneuron,hermaphrodite
LUAR,interneuron,hermaphrodite
M1,motor,hermaphrodite
M2L,motor,hermaphrodite
M2R,motor,hermaphrodite
M3L,motor,hermaphrodite
M3R,motor,hermaphrodite
M4,motor,hermaphrodite
M5,motor,hermaphrodite
MCL,motor,hermaphrodite
MCR,motor,hermaphrodite
MI,motor,hermaphrodite
NSML,motor,hermaphrodite
NSMR,motor,hermaphrodite
OLLL,sensory,hermaphrodite
OLLR,sensory,hermaphrodite
OLQDL,sensory,hermaphrodite
OLQDR,sensory,hermaphrodite
OLQVL,sensory,hermaphrodite
OLQVR,sensory,hermaphrodite
PDA,motor,hermaphrodite
PDB,motor,hermaphrodite
PDEL,sensory,hermaphrodite
PDER,sensory,hermaphrodite
PHAL,sensory,hermaphrodite
PHAR,sensory,hermaphrodite
PHBL,sensory,hermaphrodite
PHBR,sensory,hermaphrodite
PHCL,sensory,hermaphrodite
PHCR,sensory,hermaphrodite
PLML,sensory,hermaphrodite
PLMR,sensory,hermaphrodite
PLNL,sensory,hermaphrodite
PLNR,sensory,hermaphrodite
PQR,sensory,hermaphrodite
PVCL,interneuron,hermaphrodite
PVCR,interneuron,hermaphrodite
PVDL,sensory,hermaphrodite
PVDR,sensory,hermaphrodite
PVM,sensory,hermaphrodite
PVNL,interneuron,hermaphrodite
PVNR,interneuron,hermaphrodite
PVPL,interneuron,hermaphrodite
PVPR,interneuron,hermaphrodite
PVQL,interneuron,hermaphrodite
PVQR,interneuron,hermaphrodite
PVR,interneuron,hermaphrodite
PVT,interneuron,hermaphrodite
PVWL,interneuron,hermaphrodite
PVWR,interneuron,hermaphrodite
RIAL,interneuron,hermaphrodite
RIAR,interneuron,hermaphrodite
RIBL,interneuron,hermaphrodite
RIBR,interneuron,hermaphrodite
RICL,interneuron,hermaphrodite
RICR,interneuron,hermaphrodite
RID,motor,hermaphrodite
RIFL,interneuron,hermaphrodite
RIFR,interneuron,hermaphrodite
RIGL,interneuron,hermaphrodite
RIGR,interneuron,hermaphrodite
RIH,interneuron,hermaphrodite
RIML,motor,hermaphrodite
RIMR,motor,hermaphrodite
RIPL,interneuron,hermaphrodite
RIPR,interneuron,hermaphrodite
RIR,interneuron,hermaphrodite
RIS,interneuron,hermaphrodite
RIVL,interneuron,hermaphrodite
RIVR,interneuron,hermaphrodite
RMDDL,motor,hermaphrodite
RMDDR,motor,hermaphrodite
RMDL,motor,hermaphrodite
RMDR,motor,hermaphrodite
RMDVL,motor,hermaphrodite
RMDVR,motor,hermaphrodite
RMED,motor,hermaphrodite
RMEL,motor,hermaphrodite
RMER,motor,hermaphrodite
RMEV,motor,hermaphrodite
RMFL,motor,hermaphrodite
RMFR,motor,hermaphrodite
RMGL,motor,hermaphrodite
RMGR,motor,hermaphrodite
RMHL,motor,hermaphrodite
RMHR,motor,hermaphrodite
SAADL,interneuron,hermaphrodite
SAADR,interneuron,hermaphrodite
SAAVL,interneuron,hermaphrodite
SAAVR,interneuron,hermaphrodite
SABD,interneuron,hermaphrodite
SABVL,interneuron,hermaphrodite
SABVR,interneuron,hermaphrodite
SDQL,interneuron,hermaphrodite
SDQR,interneuron,hermaphrodite
SIADL,interneuron,hermaphrodite
SIADR,interneuron,hermaphrodite
SIAVL,interneuron,hermaphrodite
SIAVR,interneuron,hermaphrodite
SIBDL,interneuron,hermaphrodite
SIBDR,interneuron,hermaphrodite
SIBVL,interneuron,hermaphrodite
SIBVR,interneuron,hermaphrodite
SMBDL,motor,hermaphrodite
SMBDR,motor,hermaphrodite
SMBVL,motor,hermaphrodite
SMBVR,motor,hermaphrodite
SMDDL,motor,hermaphrodite
SMDDR,motor,hermaphrodite
SMDVL,motor,hermaphrodite
SMDVR,motor,hermaphrodite
URADL,motor,hermaphrodite
URADR,motor,hermaphrodite
URAVL,motor,hermaphrodite
URAVR,motor,hermaphrodite
URBL,interneuron,hermaphrodite
URBR,interneuron,hermaphrodite
URXL,sensory,hermaphrodite
URXR,sensory,hermaphrodite
URYDL,interneuron,hermaphrodite
URYDR,interneuron,hermaphrodite
URYVL,interneuron,hermaphrodite
URYVR,interneuron,hermaphrodite
VA01,motor,hermaphrodite
VA02,motor,hermaphrodite
VA03,motor,hermaphrodite
VA04,motor,hermaphrodite
VA05,motor,hermaphrodite
VA06,motor,hermaphrodite
VA07,motor,hermaphrodite
VA08,motor,hermaphrodite
VA09,motor,hermaphrodite
VA10,motor,hermaphrodite
VA11,motor,hermaphrodite
VA12,motor,hermaphrodite
VB01,motor,hermaphrodite
VB02,motor,hermaphrodite
VB03,motor,hermaphrodite
VB04,motor,hermaphrodite
VB05,motor,hermaphrodite
VB06,motor,hermaphrodite
VB07,motor,hermaphrodite
VB08,motor,hermaphrodite
VB09,motor,hermaphrodite
VB10,motor,hermaphrodite
VB11,motor,hermaphrodite
VC01,motor,hermaphrodite
VC02,motor,hermaphrodite
VC03,motor,hermaphrodite
VC04,motor,hermaphrodite
VC05,motor,hermaphrodite
VC06,motor,hermaphrodite
VD01,motor,hermaphrodite
VD02,motor,hermaphrodite
VD03,motor,hermaphrodite
VD04,motor,hermaphrodite
VD05,motor,hermaphrodite
VD06,motor,hermaphrodite
VD07,motor,hermaphrodite
VD08,motor,hermaphrodite
VD09,motor,hermaphrodite
VD10,motor,hermaphrodite
VD11,motor,hermaphrodite
VD12,motor,hermaphrodite
VD13,motor,hermaphrodite
