pre,post,type,weight,neurotransmitter
AVAR,PVCR,chemical,3,glutamate
AVAR,RIML,chemical,1,acetylcholine
AVAR,RIMR,chemical,1,acetylcholine
AVAR,SABD,chemical,1,acetylcholine
AVAR,SABVR,chemical,1,acetylcholine
AVBL,AVBR,gap,3,
AVBL,AVAL,chemical,1,glutamate
AVBL,AVAR,chemical,1,glutamate
AVBL,DB01,chemical,3,acetylcholine
AVBL,DB02,chemical,4,acetylcholine
AVBL,DB03,chemical,3,acetylcholine
AVBL,DB04,chemical,4,acetylcholine
AVBL,DB05,chemical,3,acetylcholine
AVBL,DB06,chemical,2,acetylcholine
AVBL,DB07,chemical,2,acetylcholine
AVBL,VB01,chemical,3,acetylcholine
AVBL,VB02,chemical,5,acetylcholine
AVBL,VB03,chemical,3,acetylcholine
AVBL,VB04,chemical,2,acetylcholine
AVBL,VB05,chemical,3,acetylcholine
AVBL,VB06,chemical,2,acetylcholine
AVBL,VB07,chemical,1,acetylcholine
AVBL,VB08,chemical,1,acetylcholine
AVBL,VB09,chemical,2,acetylcholine
AVBL,VB10,chemical,1,acetylcholine
AVBL,VB11,chemical,1,acetylcholine
AVBL,AS06,chemical,1,acetylcholine
AVBL,AS07,chemical,1,acetylcholine
AVBL,PVCL,chemical,2,glutamate
AVBL,RID,chemical,1,acetylcholine
AVBR,AVBL,gap,3,
AVBR,AVAL,chemical,1,glutamate
AVBR,AVAR,chemical,1,glutamate
AVBR,DB01,chemical,2,acetylcholine
AVBR,DB02,chemical,3,acetylcholine
AVBR,DB03,chemical,4,acetylcholine
AVBR,DB04,chemical,3,acetylcholine
AVBR,DB05,chemical,2,acetylcholine
AVBR,DB06,chemical,3,acetylcholine
AVBR,DB07,chemical,1,acetylcholine
AVBR,VB01,chemical,2,acetylcholine
AVBR,VB02,chemical,4,acetylcholine
AVBR,VB03,chemical,2,acetylcholine
AVBR,VB04,chemical,3,acetylcholine
AVBR,VB05,chemical,2,acetylcholine
AVBR,VB06,chemical,3,acetylcholine
AVBR,VB07,chemical,2,acetylcholine
AVBR,VB08,chemical,2,acetylcholine
AVBR,VB09,chemical,1,acetylcholine
AVBR,VB10,chemical,2,acetylcholine
AVBR,VB11,chemical,1,acetylcholine
AVBR,AS08,chemical,1,acetylcholine
AVBR,PVCR,chemical,2,glutamate
AVBR,RID,chemical,1,acetylcholine
AVDL,AVDR,gap,2,
AVDL,AVAL,chemical,5,glutamate
AVDL,AVAR,chemical,4,glutamate
AVDL,VA01,chemical,1,acetylcholine
AVDL,DA01,chemical,1,acetylcholine
AVDL,PVCL,chemical,1,glutamate
AVDR,AVDL,gap,2,
AVDR,AVAL,chemical,4,glutamate
AVDR,AVAR,chemical,5,glutamate
AVDR,VA01,chemical,1,acetylcholine
AVDR,DA01,chemical,1,acetylcholine
AVDR,PVCR,chemical,1,glutamate
AVEL,AVER,gap,1,
AVEL,AVAL,chemical,3,glutamate
AVEL,AVAR,chemical,2,glutamate
AVEL,RIML,chemical,1,acetylcholine
AVEL,RIMR,chemical,1,acetylcholine
AVEL,RMDVL,chemical,1,acetylcholine
AVER,AVEL,gap,1,
AVER,AVAL,chemical,2,glutamate
AVER,AVAR,chemical,3,glutamate
AVER,RIML,chemical,1,acetylcholine
AVER,RIMR,chemical,1,acetylcholine
AVER,RMDVR,chemical,1,acetylcholine
PVCL,PVCR,gap,3,
PVCL,AVAL,chemical,6,glutamate
PVCL,AVAR,chemical,4,glutamate
PVCL,AVBL,chemical,5,glutamate
PVCL,AVBR,chemical,3,glutamate
PVCL,AVDL,chemical,1,glutamate
PVCL,DVA,chemical,2,glutamate
PVCR,PVCL,gap,3,
PVCR,AVAL,chemical,4,glutamate
PVCR,AVAR,chemical,6,glutamate
PVCR,AVBL,chemical,3,glutamate
PVCR,AVBR,chemical,5,glutamate
PVCR,AVDR,chemical,1,glutamate
PVCR,DVA,chemical,2,glutamate
DVA,AVAL,chemical,3,glutamate
DVA,AVAR,chemical,3,glutamate
DVA,PVCL,chemical,2,glutamate
DVA,PVCR,chemical,2,glutamate
DVA,AVBL,chemical,1,glutamate
DVA,AVBR,chemical,1,glutamate
DVC,AVAL,chemical,2,glutamate
DVC,AVAR,chemical,2,glutamate
DVC,AVBL,chemical,1,glutamate
DVC,AVBR,chemical,1,glutamate
AWAL,AIAR,chemical,1,glutamate
AWAL,AIAL,chemical,2,glutamate
AWAL,AIYL,chemical,1,glutamate
AWAR,AIAL,chemical,1,glutamate
AWAR,AIAR,chemical,2,glutamate
AWAR,AIYR,chemical,1,glutamate
AWCL,AIAL,chemical,2,glutamate
AWCL,AIBL,chemical,2,glutamate
AWCL,AIYL,chemical,4,glutamate
AWCR,AIAR,chemical,2,glutamate
AWCR,AIBR,chemical,2,glutamate
AWCR,AIYR,chemical,4,glutamate
ASEL,AIAL,chemical,1,glutamate
ASEL,AIBL,chemical,2,glutamate
ASEL,AIYL,chemical,3,glutamate
ASER,AIAR,chemical,1,glutamate
ASER,AIBR,chemical,2,glutamate
ASER,AIYR,chemical,3,glutamate
ASHL,AIAL,chemical,1,glutamate
ASHL,AIBL,chemical,1,glutamate
ASHL,AVDL,chemical,1,glutamate
ASHR,AIAR,chemical,1,glutamate
ASHR,AIBR,chemical,1,glutamate
ASHR,AVDR,chemical,1,glutamate
ADFL,AIAL,chemical,1,glutamate
ADFL,AIBL,chemical,2,glutamate
ADFR,AIAR,chemical,1,glutamate
ADFR,AIBR,chemical,2,glutamate
ADLL,AIAL,chemical,1,glutamate
ADLL,AIBL,chemical,1,glutamate
ADLL,AVDL,chemical,2,glutamate
ADLR,AIAR,chemical,1,glutamate
ADLR,AIBR,chemical,1,glutamate
ADLR,AVDR,chemical,2,glutamate
AFDL,AIYL,chemical,3,glutamate
AFDL,AIAL,chemical,1,glutamate
AFDR,AIYR,chemical,3,glutamate
AFDR,AIAR,chemical,1,glutamate
AIAL,AIAR,gap,1,
AIAL,AIBL,chemical,4,acetylcholine
AIAL,AIYL,chemical,1,acetylcholine
AIAL,AIZL,chemical,3,acetylcholine
AIAL,AUAL,chemical,1,acetylcholine
AIAL,RIAL,chemical,2,acetylcholine
AIAR,AIAL,gap,1,
AIAR,AIBR,chemical,4,acetylcholine
AIAR,AIYR,chemical,1,acetylcholine
AIAR,AIZR,chemical,3,acetylcholine
AIAR,AUAR,chemical,1,acetylcholine
AIAR,RIAR,chemical,2,acetylcholine
AIBL,AIBR,gap,1,
AIBL,AFDL,chemical,1,acetylcholine
AIBL,AIYL,chemical,2,acetylcholine
AIBL,RIAL,chemical,1,acetylcholine
AIBL,RIBL,chemical,1,acetylcholine
AIBL,RIVL,chemical,1,acetylcholine
AIBR,AIBL,gap,1,
AIBR,AFDR,chemical,1,acetylcholine
AIBR,AIYR,chemical,2,acetylcholine
AIBR,RIAR,chemical,1,acetylcholine
AIBR,RIBR,chemical,1,acetylcholine
AIBR,RIVR,chemical,1,acetylcholine
AIYL,AIYR,gap,1,
AIYL,AIAL,chemical,5,acetylcholine
AIYL,AIZL,chemical,6,acetylcholine
AIYL,RIAL,chemical,4,acetylcholine
AIYR,AIYL,gap,1,
AIYR,AIAR,chemical,5,acetylcholine
AIYR,AIZR,chemical,6,acetylcholine
AIYR,RIAR,chemical,4,acetylcholine
AIZL,AIZR,gap,1,
AIZL,AIAL,chemical,3,acetylcholine
AIZL,AIBL,chemical,4,acetylcholine
AIZL,RIML,chemical,3,acetylcholine
AIZL,SMBDL,chemical,2,acetylcholine
AIZL,SMBVL,chemical,1,acetylcholine
AIZR,AIZL,gap,1,
AIZR,AIAR,chemical,3,acetylcholine
AIZR,AIBR,chemical,4,acetylcholine
AIZR,RIMR,chemical,3,acetylcholine
AIZR,SMBDR,chemical,2,acetylcholine
AIZR,SMBVR,chemical,1,acetylcholine
RIML,RIMR,gap,1,
RIML,AVAL,chemical,1,acetylcholine
RIML,AVAR,chemical,1,acetylcholine
RIML,AVBL,chemical,1,acetylcholine
RIML,RMDDL,chemical,1,acetylcholine
RIML,SMBDL,chemical,2,acetylcholine
RIML,SMDVL,chemical,1,acetylcholine
RIMR,RIML,gap,1,
RIMR,AVAL,chemical,1,acetylcholine
RIMR,AVAR,chemical,1,acetylcholine
RIMR,AVBR,chemical,1,acetylcholine
RIMR,RMDDR,chemical,1,acetylcholine
RIMR,SMBDR,chemical,2,acetylcholine
RIMR,SMDVR,chemical,1,acetylcholine
RIAL,RIAR,gap,2,
RIAL,RIVL,chemical,2,acetylcholine
RIAL,RIML,chemical,1,acetylcholine
RIAL,RMDVL,chemical,1,acetylcholine
RIAL,SMDVL,chemical,3,acetylcholine
RIAL,SMDDL,chemical,3,acetylcholine
RIAR,RIAL,gap,2,
RIAR,RIVR,chemical,2,acetylcholine
RIAR,RIMR,chemical,1,acetylcholine
RIAR,RMDVR,chemical,1,acetylcholine
RIAR,SMDVR,chemical,3,acetylcholine
RIAR,SMDDR,chemical,3,acetylcholine
RIBL,RIBR,gap,1,
RIBL,AIBR,chemical,1,acetylcholine
RIBL,AVAL,chemical,1,acetylcholine
RIBL,SMBDL,chemical,1,acetylcholine
RIBR,RIBL,gap,1,
RIBR,AIBL,chemical,1,acetylcholine
RIBR,AVAR,chemical,1,acetylcholine
RIBR,SMBDR,chemical,1,acetylcholine
RIVL,RIVR,gap,1,
RIVL,RIML,chemical,1,acetylcholine
RIVL,RMDDL,chemical,2,acetylcholine
RIVL,RMDL,chemical,1,acetylcholine
RIVL,SMBDL,chemical,1,acetylcholine
RIVR,RIVL,gap,1,
RIVR,RIMR,chemical,1,acetylcholine
RIVR,RMDDR,chemical,2,acetylcholine
RIVR,RMDR,chemical,1,acetylcholine
RIVR,SMBDR,chemical,1,acetylcholine
SMDDL,SMDDR,gap,1,
SMDDL,RMDDL,chemical,1,acetylcholine
SMDDL,RMDL,chemical,1,acetylcholine
SMDDL,RIVL,chemical,1,acetylcholine
SMDDR,SMDDL,gap,1,
SMDDR,RMDDR,chemical,1,acetylcholine
SMDDR,RMDR,chemical,1,acetylcholine
SMDDR,RIVR,chemical,1,acetylcholine
SMDVL,SMDVR,gap,1,
SMDVL,RMDVL,chemical,1,acetylcholine
SMDVL,RIML,chemical,1,acetylcholine
SMDVL,PDA,chemical,1,acetylcholine
SMDVR,SMDVL,gap,1,
SMDVR,RMDVR,chemical,1,acetylcholine
SMDVR,RIMR,chemical,1,acetylcholine
SMDVR,PDA,chemical,1,acetylcholine
SMBDL,SMBDR,gap,1,
SMBDL,RMDDL,chemical,1,acetylcholine
SMBDR,SMBDL,gap,1,
SMBDR,RMDDR,chemical,1,acetylcholine
SMBVL,SMBVR,gap,1,
SMBVL,RMDVL,chemical,1,acetylcholine
SMBVR,SMBVL,gap,1,
SMBVR,RMDVR,chemical,1,acetylcholine
DA01,DA02,gap,1,
DA01,DD01,chemical,2,acetylcholine
DA01,VD01,chemical,1,GABA
DA02,DA01,gap,1,
DA02,DA03,gap,1,
DA02,DD01,chemical,1,acetylcholine
DA02,DD02,chemical,1,acetylcholine
DA02,VD02,chemical,1,GABA
DA03,DA02,gap,1,
DA03,DA04,gap,1,
DA03,DD02,chemical,2,acetylcholine
DA03,VD03,chemical,1,GABA
DA04,DA03,gap,1,
DA04,DA05,gap,1,
DA04,DD03,chemical,1,acetylcholine
DA04,VD04,chemical,1,GABA
DA05,DA04,gap,1,
DA05,DA06,gap,1,
DA05,DD04,chemical,1,acetylcholine
DA05,VD05,chemical,1,GABA
DA06,DA05,gap,1,
DA06,DA07,gap,1,
DA06,DD04,chemical,1,acetylcholine
DA06,VD06,chemical,1,GABA
DA07,DA06,gap,1,
DA07,DA08,gap,1,
DA07,DD05,chemical,1,acetylcholine
DA07,VD07,chemical,1,GABA
DA08,DA07,gap,1,
DA08,DA09,gap,1,
DA08,DD05,chemical,1,acetylcholine
DA08,VD08,chemical,1,GABA
DA09,DA08,gap,1,
DA09,DD06,chemical,1,acetylcholine
DA09,VD09,chemical,1,GABA
DB01,DB02,gap,1,
DB01,DD01,chemical,1,acetylcholine
DB01,VD01,chemical,1,GABA
DB02,DB01,gap,1,
DB02,DB03,gap,1,
DB02,DD01,chemical,1,acetylcholine
DB02,VD02,chemical,1,GABA
DB03,DB02,gap,1,
DB03,DB04,gap,1,
DB03,DD02,chemical,1,acetylcholine
DB03,VD03,chemical,1,GABA
DB04,DB03,gap,1,
DB04,DB05,gap,1,
DB04,DD03,chemical,1,acetylcholine
DB04,VD04,chemical,1,GABA
DB05,DB04,gap,1,
DB05,DB06,gap,1,
DB05,DD04,chemical,1,acetylcholine
DB05,VD05,chemical,1,GABA
DB06,DB05,gap,1,
DB06,DB07,gap,1,
DB06,DD05,chemical,1,acetylcholine
DB06,VD06,chemical,1,GABA
DB07,DB06,gap,1,
DB07,DD06,chemical,1,acetylcholine
DB07,VD07,chemical,1,GABA
VB01,VB02,gap,1,
VB01,DD01,chemical,1,acetylcholine
VB02,VB01,gap,1,
VB02,VB03,gap,1,
VB02,DD01,chemical,1,acetylcholine
VB03,VB02,gap,1,
VB03,VB04,gap,1,
VB03,DD02,chemical,1,acetylcholine
VB04,VB03,gap,1,
VB04,VB05,gap,1,
VB04,DD03,chemical,1,acetylcholine
VB05,VB04,gap,1,
VB05,VB06,gap,1,
VB05,DD03,chemical,1,acetylcholine
VB06,VB05,gap,1,
VB06,VB07,gap,1,
VB06,DD04,chemical,1,acetylcholine
VB07,VB06,gap,1,
VB07,VB08,gap,1,
VB07,DD04,chemical,1,acetylcholine
VB08,VB07,gap,1,
VB08,VB09,gap,1,
VB08,DD05,chemical,1,acetylcholine
VB09,VB08,gap,1,
VB09,VB10,gap,1,
VB09,DD05,chemical,1,acetylcholine
VB10,VB09,gap,1,
VB10,VB11,gap,1,
VB10,DD06,chemical,1,acetylcholine
VB11,VB10,gap,1,
VB11,DD06,chemical,1,acetylcholine
DD01,DD02,gap,1,
DD01,VD01,chemical,1,GABA
DD01,VD02,chemical,1,GABA
DD02,DD01,gap,1,
DD02,DD03,gap,1,
DD02,VD03,chemical,1,GABA
DD02,VD04,chemical,1,GABA
DD03,DD02,gap,1,
DD03,DD04,gap,1,
DD03,VD05,chemical,1,GABA
DD03,VD06,chemical,1,GABA
DD04,DD03,gap,1,
DD04,DD05,gap,1,
DD04,VD07,chemical,1,GABA
DD04,VD08,chemical,1,GABA
DD05,DD04,gap,1,
DD05,DD06,gap,1,
DD05,VD09,chemical,1,GABA
DD05,VD10,chemical,1,GABA
DD06,DD05,gap,1,
DD06,VD11,chemical,1,GABA
DD06,VD12,chemical,1,GABA
DD06,VD13,chemical,1,GABA
VD01,DD01,chemical,1,GABA
VD01,VA01,chemical,1,GABA
VD02,DD01,chemical,1,GABA
VD02,VA02,chemical,1,GABA
VD03,DD02,chemical,1,GABA
VD03,VA03,chemical,1,GABA
VD04,DD02,chemical,1,GABA
VD04,VA04,chemical,1,GABA
VD05,DD03,chemical,1,GABA
VD05,VA05,chemical,1,GABA
VD06,DD03,chemical,1,GABA
VD06,VA06,chemical,1,GABA
VD07,DD04,chemical,1,GABA
VD07,VA07,chemical,1,GABA
VD08,DD04,chemical,1,GABA
VD08,VA08,chemical,1,GABA
VD09,DD05,chemical,1,GABA
VD09,VA09,chemical,1,GABA
VD10,DD05,chemical,1,GABA
VD10,VA10,chemical,1,GABA
VD11,DD06,chemical,1,GABA
VD11,VA11,chemical,1,GABA
VD12,DD06,chemical,1,GABA
VD12,VA12,chemical,1,GABA
VD13,DD06,chemical,1,GABA
ALML,ALMR,gap,1,
ALML,AVDL,chemical,1,glutamate
ALML,BDUL,chemical,1,glutamate
ALMR,ALML,gap,1,
ALMR,AVDR,chemical,1,glutamate
ALMR,BDUR,chemical,1,glutamate
PLML,PLMR,gap,1,
PLML,PVCL,chemical,2,glutamate
PLML,AVDL,chemical,1,glutamate
PLMR,PLML,gap,1,
PLMR,PVCR,chemical,2,glutamate
PLMR,AVDR,chemical,1,glutamate
AVM,AVDL,chemical,1,glutamate
AVM,AVDR,chemical,1,glutamate
AVM,AVBL,chemical,1,glutamate
AVM,AVBR,chemical,1,glutamate
PVM,AVDL,chemical,1,glutamate
PVM,AVDR,chemical,1,glutamate
PDEL,PDER,gap,1,
PDEL,AVDL,chemical,1,glutamate
PDEL,PVCL,chemical,1,glutamate
PDER,PDEL,gap,1,
PDER,AVDR,chemical,1,glutamate
PDER,PVCR,chemical,1,glutamate
PVDL,PVDR,gap,1,
PVDL,AVDL,chemical,1,glutamate
PVDL,PVCL,chemical,1,glutamate
PVDR,PVDL,gap,1,
PVDR,AVDR,chemical,1,glutamate
PVDR,PVCR,chemical,1,glutamate
ASGL,AIAL,chemical,1,glutamate
ASGR,AIAR,chemical,1,glutamate
ASIL,AIAL,chemical,1,glutamate
ASIR,AIAR,chemical,1,glutamate
ASJL,AIAL,chemical,1,glutamate
ASJL,AIYL,chemical,1,glutamate
ASJR,AIAR,chemical,1,glutamate
ASJR,AIYR,chemical,1,glutamate
ASKL,AIAL,chemical,2,glutamate
ASKL,AIBL,chemical,1,glutamate
ASKR,AIAR,chemical,2,glutamate
ASKR,AIBR,chemical,1,glutamate
AWBL,AIZL,chemical,1,glutamate
AWBL,AIYL,chemical,1,glutamate
AWBR,AIZR,chemical,1,glutamate
AWBR,AIYR,chemical,1,glutamate
BAGL,AIYL,chemical,1,glutamate
BAGL,RIAL,chemical,1,glutamate
BAGR,AIYR,chemical,1,glutamate
BAGR,RIAR,chemical,1,glutamate
URXL,AUAL,chemical,1,glutamate
URXR,AUAR,chemical,1,glutamate
AUAL,AUAR,gap,1,
AUAL,AVAL,chemical,2,acetylcholine
AUAL,AIAR,chemical,1,acetylcholine
AUAL,RIML,chemical,1,acetylcholine
AUAR,AUAL,gap,1,
AUAR,AVAR,chemical,2,acetylcholine
AUAR,AIAL,chemical,1,acetylcholine
AUAR,RIMR,chemical,1,acetylcholine
ADAL,ADAR,gap,1,
ADAL,AIAL,chemical,1,acetylcholine
ADAL,AVBL,chemical,1,acetylcholine
ADAR,ADAL,gap,1,
ADAR,AIAR,chemical,1,acetylcholine
ADAR,AVBR,chemical,1,acetylcholine
AIML,AIMR,gap,1,
AIML,AIAL,chemical,1,acetylcholine
AIML,RIML,chemical,1,acetylcholine
AIMR,AIML,gap,1,
AIMR,AIAR,chemical,1,acetylcholine
AIMR,RIMR,chemical,1,acetylcholine
AINL,AINR,gap,1,
AINL,AIZL,chemical,1,acetylcholine
AINL,AIBL,chemical,1,acetylcholine
AINR,AINL,gap,1,
AINR,AIZR,chemical,1,acetylcholine
AINR,AIBR,chemical,1,acetylcholine
AVFL,AVFR,gap,1,
AVFL,AVBL,chemical,1,acetylcholine
AVFL,RIML,chemical,1,acetylcholine
AVFR,AVFL,gap,1,
AVFR,AVBR,chemical,1,acetylcholine
AVFR,RIMR,chemical,1,acetylcholine
AVHL,AVHR,gap,1,
AVHL,AVAL,chemical,1,acetylcholine
AVHL,AVDL,chemical,1,acetylcholine
AVHR,AVHL,gap,1,
AVHR,AVAR,chemical,1,acetylcholine
AVHR,AVDR,chemical,1,acetylcholine
AVJL,AVJR,gap,1,
AVJL,AVAL,chemical,1,acetylcholine
AVJL,AVBL,chemical,1,acetylcholine
AVJR,AVJL,gap,1,
AVJR,AVAR,chemical,1,acetylcholine
AVJR,AVBR,chemical,1,acetylcholine
AVKL,AVKR,gap,1,
AVKL,AVAL,chemical,1,acetylcholine
AVKL,RIML,chemical,1,acetylcholine
AVKR,AVKL,gap,1,
AVKR,AVAR,chemical,1,acetylcholine
AVKR,RIMR,chemical,1,acetylcholine
PVNL,PVNR,gap,1,
PVNL,AVAL,chemical,1,acetylcholine
PVNL,AVBL,chemical,1,acetylcholine
PVNR,PVNL,gap,1,
PVNR,AVAR,chemical,1,acetylcholine
PVNR,AVBR,chemical,1,acetylcholine
PVPL,PVPR,gap,1,
PVPL,AVAL,chemical,1,acetylcholine
PVPL,AVAR,chemical,1,acetylcholine
PVPR,PVPL,gap,1,
PVPR,AVAL,chemical,1,acetylcholine
PVPR,AVAR,chemical,1,acetylcholine
PVQL,PVQR,gap,1,
PVQL,AVAL,chemical,1,acetylcholine
PVQL,ADLL,chemical,1,acetylcholine
PVQR,PVQL,gap,1,
PVQR,AVAR,chemical,1,acetylcholine
PVQR,ADLR,chemical,1,acetylcholine
PVR,AVAL,chemical,1,acetylcholine
PVR,AVAR,chemical,1,acetylcholine
PVR,AVDL,chemical,1,acetylcholine
PVR,AVDR,chemical,1,acetylcholine
PVT,AVAL,chemical,1,acetylcholine
PVT,AVAR,chemical,1,acetylcholine
PVT,RIBL,chemical,1,acetylcholine
PVT,RIBR,chemical,1,acetylcholine
PVWL,PVWR,gap,1,
PVWL,AVAL,chemical,1,acetylcholine
PVWR,PVWL,gap,1,
PVWR,AVAR,chemical,1,acetylcholine
AVG,AVAL,chemical,1,acetylcholine
AVG,AVAR,chemical,1,acetylcholine
AVG,AVBL,chemical,1,acetylcholine
AVG,AVBR,chemical,1,acetylcholine
AVL,AVAL,chemical,1,acetylcholine
AVL,AVAR,chemical,1,acetylcholine
AVL,DVB,chemical,1,acetylcholine
LUAL,LUAR,gap,1,
LUAL,AVAL,chemical,1,acetylcholine
LUAL,PVCL,chemical,1,acetylcholine
LUAR,LUAL,gap,1,
LUAR,AVAR,chemical,1,acetylcholine
LUAR,PVCR,chemical,1,acetylcholine
BDUL,BDUR,gap,1,
BDUL,AVDL,chemical,1,acetylcholine
BDUL,AVBL,chemical,1,acetylcholine
BDUR,BDUL,gap,1,
BDUR,AVDR,chemical,1,acetylcholine
BDUR,AVBR,chemical,1,acetylcholine
RICL,RICR,gap,1,
RICL,AIAL,chemical,1,acetylcholine
RICL,AUAR,chemical,1,acetylcholine
RICR,RICL,gap,1,
RICR,AIAR,chemical,1,acetylcholine
RICR,AUAL,chemical,1,acetylcholine
RIH,AIZL,chemical,1,acetylcholine
RIH,AIZR,chemical,1,acetylcholine
RIS,AIZL,chemical,1,acetylcholine
RIS,AIZR,chemical,1,acetylcholine
RIS,RIML,chemical,1,acetylcholine
RIS,RIMR,chemical,1,acetylcholine
RIFL,RIFR,gap,1,
RIFL,AVAL,chemical,1,acetylcholine
RIFR,RIFL,gap,1,
RIFR,AVAR,chemical,1,acetylcholine
RIGL,RIGR,gap,1,
RIGL,AIBL,chemical,1,acetylcholine
RIGL,RIAL,chemical,1,acetylcholine
RIGR,RIGL,gap,1,
RIGR,AIBR,chemical,1,acetylcholine
RIGR,RIAR,chemical,1,acetylcholine
RIPL,RIPR,gap,1,
RIPL,AVAL,chemical,1,acetylcholine
RIPL,RMDL,chemical,1,acetylcholine
RIPR,RIPL,gap,1,
RIPR,AVAR,chemical,1,acetylcholine
RIPR,RMDR,chemical,1,acetylcholine
RIR,RIML,chemical,1,acetylcholine
RIR,RIMR,chemical,1,acetylcholine
RIR,AVAL,chemical,1,acetylcholine
SAADL,SAADR,gap,1,
SAADL,RIML,chemical,1,acetylcholine
SAADL,RMDDL,chemical,1,acetylcholine
SAADR,SAADL,gap,1,
SAADR,RIMR,chemical,1,acetylcholine
SAADR,RMDDR,chemical,1,acetylcholine
SAAVL,SAAVR,gap,1,
SAAVL,RIML,chemical,1,acetylcholine
SAAVL,RMDVL,chemical,1,acetylcholine
SAAVR,SAAVL,gap,1,
SAAVR,RIMR,chemical,1,acetylcholine
SAAVR,RMDVR,chemical,1,acetylcholine
SDQL,SDQR,gap,1,
SDQL,AVAL,chemical,1,acetylcholine
SDQL,AVBL,chemical,1,acetylcholine
SDQR,SDQL,gap,1,
SDQR,AVAR,chemical,1,acetylcholine
SDQR,AVBR,chemical,1,acetylcholine
SIADL,SIADR,gap,1,
SIAVL,SIAVR,gap,1,
SIBDL,SIBDR,gap,1,
SIBVL,SIBVR,gap,1,
DVB,DD06,chemical,1,acetylcholine
DVB,VD12,chemical,1,GABA
DVB,VD13,chemical,1,GABA
SABVL,SABVR,gap,1,
SABVR,SABVL,gap,1,
SABD,AVAL,chemical,1,acetylcholine
SABD,AVAR,chemical,1,acetylcholine
RID,DD01,chemical,1,acetylcholine
RID,DD02,chemical,1,acetylcholine
RID,DD03,chemical,1,acetylcholine
RMDDL,RMDDR,gap,1,
RMDDR,RMDDL,gap,1,
RMDVL,RMDVR,gap,1,
RMDVR,RMDVL,gap,1,
RMDL,RMDR,gap,1,
RMDR,RMDL,gap,1,
RMED,RMEV,gap,1,
RMEL,RMER,gap,1,
RMEV,RMED,gap,1,
RMER,RMEL,gap,1,
RMFL,RMFR,gap,1,
RMFR,RMFL,gap,1,
RMGL,RMGR,gap,1,
RMGR,RMGL,gap,1,
RMHL,RMHR,gap,1,
RMHR,RMHL,gap,1,
URBL,URBR,gap,1,
URBR,URBL,gap,1,
URYDL,URYDR,gap,1,
URYDR,URYDL,gap,1,
URYVL,URYVR,gap,1,
URYVR,URYVL,gap,1,
HSNL,HSNR,gap,1,
HSNL,VC04,chemical,1,acetylcholine
